date,time,symbol,name,direction,price,stop_loss,take_profit,rr,score,rsi,adx,outcome
2026-04-18,18:50,USDJPY=X,USD/JPY,LONG,158.602,157.6643,160.0086,1.5,55.0,45.3,38.5,OPEN
2026-04-18,18:50,AUDUSD=X,AUD/USD,LONG,0.7168,0.7128,0.7229,1.5,55.0,54.0,50.9,OPEN
2026-04-18,20:20,ZS=F,SOYBEAN,LONG,1183.0,1171.4643,1200.3036,1.5,57.9,69.4,43.5,OPEN
2026-04-18,20:20,^DJI,DOW JONES,LONG,49442.5586,48952.8092,50177.1828,1.5,55.8,71.2,43.5,OPEN
2026-04-18,20:20,^FTSE,FTSE 100,LONG,10661.0801,10585.2217,10774.8677,1.5,59.0,57.6,16.9,OPEN
2026-04-18,20:20,^GDAXI,DAX,LONG,24698.7695,24441.264,25085.0279,1.5,63.0,82.5,55.3,OPEN
2026-04-18,20:20,^FCHI,CAC 40,LONG,8424.7598,8353.8439,8531.1336,1.5,62.2,75.6,25.3,OPEN
2026-04-18,20:20,^N225,NIKKEI 225,LONG,58798.0391,58045.3817,59927.0251,1.5,57.9,63.7,57.1,OPEN
2026-04-18,20:20,^HSI,HANG SENG,LONG,26160.3301,25851.5382,26623.5179,1.5,55.9,63.7,24.2,OPEN
2026-04-18,20:20,000001.SS,SHANGHAI,LONG,4050.9082,4021.035,4095.718,1.5,55.3,69.0,37.5,OPEN
2026-04-18,20:20,^NSEI,NIFTY 50,LONG,24366.9004,24110.115,24752.0785,1.5,56.2,78.6,25.0,OPEN
2026-04-18,20:20,^BSESN,SENSEX,LONG,78493.5938,77636.24,79779.6244,1.5,56.0,79.6,24.7,OPEN
